Seconds since Launch,Total Requests,Requests Per Sec,Requests Okay,Requests Relayed,Requests Error
2.0144314765930176,0,0.0,0,0,0
4.016663312911987,0,0.0,0,0,0
6.0169854164123535,0,0.0,0,0,0
8.031378030776978,22,11.0,20,0,2
10.031991243362427,222,100.0,191,0,31
12.035759449005127,543,160.5,465,0,78
14.042150259017944,1016,236.5,887,0,129
16.042186498641968,1751,367.5,1523,0,228
18.05823040008545,2604,426.5,2269,0,335
20.073893785476685,3511,453.5,3079,0,432
22.07464289665222,4518,503.5,3966,0,552
24.07671618461609,5704,593.0,4998,0,706
26.09232759475708,6932,614.0,6073,0,859
28.107333183288574,8154,611.0,7144,0,1010
30.10746455192566,9452,649.0,8291,0,1161
32.11085653305054,10944,746.0,9608,0,1336
34.119486808776855,12509,782.5,11007,0,1502
36.129393100738525,13989,740.0,12360,0,1629
38.13151168823242,15662,836.5,13899,0,1763
40.131669759750366,17490,914.0,15561,0,1929
42.132856130599976,19455,982.5,17374,0,2081
44.14724040031433,21681,1113.0,19453,0,2228
46.15271997451782,24094,1206.5,21733,0,2361
48.16837787628174,26651,1278.5,24168,0,2483
50.17706751823425,29401,1375.0,26746,0,2655
52.18695855140686,32129,1364.0,29336,0,2793
54.197022676467896,35071,1471.0,32112,0,2959
56.20212459564209,38201,1565.0,35051,0,3150
58.20476222038269,41201,1500.0,37885,0,3316
60.20477628707886,44309,1554.0,40850,0,3459
62.22039175033569,47770,1730.5,44148,0,3622
64.22521257400513,51205,1717.5,47423,0,3782
66.2360246181488,54973,1884.0,51044,0,3929
68.23881793022156,58220,1623.5,54154,0,4066
70.24356412887573,60039,909.5,55894,0,4145
72.24640369415283,61622,791.5,57418,0,4204
74.24963092803955,65184,1781.0,60886,0,4298
76.25380229949951,69191,2003.5,64764,0,4427
78.26196074485779,73228,2018.5,68673,0,4555
80.27258157730103,77380,2076.0,72677,0,4703
82.27459383010864,81871,2245.5,77000,0,4871
84.27469182014465,85976,2052.5,80991,0,4985
86.27733612060547,89466,1745.0,84386,0,5080
88.28439950942993,93416,1975.0,88208,0,5208
90.29681348800659,97765,2174.5,92424,0,5341
92.30647802352905,102261,2248.0,96777,0,5484
